seed,policy,initial_success,retry_success,final_success
100,latent,False,True,True
101,latent,False,True,True
102,latent,False,True,True
103,latent,False,True,True
104,latent,False,True,True
105,latent,False,True,True
106,latent,False,True,True
107,latent,False,True,True
108,latent,False,True,True
109,latent,False,True,True
110,latent,False,True,True
111,latent,False,True,True
112,latent,False,True,True
113,latent,False,True,True
114,latent,False,True,True
115,latent,False,True,True
116,latent,False,True,True
117,latent,False,True,True
118,latent,False,True,True
119,latent,False,True,True
120,latent,False,True,True
121,latent,False,True,True
122,latent,False,True,True
123,latent,False,True,True
124,latent,False,True,True
125,latent,False,True,True
126,latent,False,False,False
127,latent,False,True,True
128,latent,False,True,True
129,latent,False,True,True
130,latent,False,True,True
131,latent,False,True,True
132,latent,False,True,True
133,latent,False,True,True
134,latent,False,True,True
135,latent,False,True,True
136,latent,False,True,True
137,latent,False,True,True
138,latent,False,True,True
139,latent,False,True,True
140,latent,False,True,True
141,latent,False,True,True
142,latent,False,True,True
143,latent,False,False,False
144,latent,False,True,True
145,latent,False,True,True
146,latent,False,True,True
147,latent,False,True,True
148,latent,False,True,True
149,latent,False,True,True
100,oracle_factor_revision,False,True,True
101,oracle_factor_revision,False,True,True
102,oracle_factor_revision,False,True,True
103,oracle_factor_revision,False,True,True
104,oracle_factor_revision,False,True,True
105,oracle_factor_revision,False,True,True
106,oracle_factor_revision,False,True,True
107,oracle_factor_revision,False,True,True
108,oracle_factor_revision,False,True,True
109,oracle_factor_revision,False,True,True
110,oracle_factor_revision,False,True,True
111,oracle_factor_revision,False,True,True
112,oracle_factor_revision,False,True,True
113,oracle_factor_revision,False,True,True
114,oracle_factor_revision,False,True,True
115,oracle_factor_revision,False,True,True
116,oracle_factor_revision,False,True,True
117,oracle_factor_revision,False,True,True
118,oracle_factor_revision,False,True,True
119,oracle_factor_revision,False,True,True
120,oracle_factor_revision,False,True,True
121,oracle_factor_revision,False,True,True
122,oracle_factor_revision,False,True,True
123,oracle_factor_revision,False,True,True
124,oracle_factor_revision,False,True,True
125,oracle_factor_revision,False,True,True
126,oracle_factor_revision,False,False,False
127,oracle_factor_revision,False,True,True
128,oracle_factor_revision,False,True,True
129,oracle_factor_revision,False,True,True
130,oracle_factor_revision,False,True,True
131,oracle_factor_revision,False,True,True
132,oracle_factor_revision,False,True,True
133,oracle_factor_revision,False,True,True
134,oracle_factor_revision,False,True,True
135,oracle_factor_revision,False,True,True
136,oracle_factor_revision,False,True,True
137,oracle_factor_revision,False,True,True
138,oracle_factor_revision,False,True,True
139,oracle_factor_revision,False,True,True
140,oracle_factor_revision,False,True,True
141,oracle_factor_revision,False,True,True
142,oracle_factor_revision,False,True,True
143,oracle_factor_revision,False,True,True
144,oracle_factor_revision,False,True,True
145,oracle_factor_revision,False,True,True
146,oracle_factor_revision,False,True,True
147,oracle_factor_revision,False,True,True
148,oracle_factor_revision,False,True,True
149,oracle_factor_revision,False,True,True
100,babysteps_selective,False,True,True
101,babysteps_selective,False,True,True
102,babysteps_selective,False,True,True
103,babysteps_selective,False,True,True
104,babysteps_selective,False,True,True
105,babysteps_selective,False,True,True
106,babysteps_selective,False,True,True
107,babysteps_selective,False,True,True
108,babysteps_selective,False,True,True
109,babysteps_selective,False,True,True
110,babysteps_selective,False,True,True
111,babysteps_selective,False,True,True
112,babysteps_selective,False,True,True
113,babysteps_selective,False,True,True
114,babysteps_selective,False,True,True
115,babysteps_selective,False,True,True
116,babysteps_selective,False,True,True
117,babysteps_selective,False,True,True
118,babysteps_selective,False,True,True
119,babysteps_selective,False,True,True
120,babysteps_selective,False,True,True
121,babysteps_selective,False,True,True
122,babysteps_selective,False,True,True
123,babysteps_selective,False,True,True
124,babysteps_selective,False,True,True
125,babysteps_selective,False,True,True
126,babysteps_selective,False,False,False
127,babysteps_selective,False,True,True
128,babysteps_selective,False,True,True
129,babysteps_selective,False,True,True
130,babysteps_selective,False,True,True
131,babysteps_selective,False,True,True
132,babysteps_selective,False,True,True
133,babysteps_selective,False,True,True
134,babysteps_selective,False,True,True
135,babysteps_selective,False,True,True
136,babysteps_selective,False,True,True
137,babysteps_selective,False,True,True
138,babysteps_selective,False,True,True
139,babysteps_selective,False,True,True
140,babysteps_selective,False,True,True
141,babysteps_selective,False,True,True
142,babysteps_selective,False,True,True
143,babysteps_selective,False,True,True
144,babysteps_selective,False,True,True
145,babysteps_selective,False,True,True
146,babysteps_selective,False,True,True
147,babysteps_selective,False,True,True
148,babysteps_selective,False,True,True
149,babysteps_selective,False,True,True
100,same_intent_retry,False,False,False
101,same_intent_retry,False,False,False
102,same_intent_retry,False,False,False
103,same_intent_retry,False,False,False
104,same_intent_retry,False,False,False
105,same_intent_retry,False,False,False
106,same_intent_retry,False,False,False
107,same_intent_retry,False,False,False
108,same_intent_retry,False,False,False
109,same_intent_retry,False,False,False
110,same_intent_retry,False,False,False
111,same_intent_retry,False,False,False
112,same_intent_retry,False,False,False
113,same_intent_retry,False,False,False
114,same_intent_retry,False,False,False
115,same_intent_retry,False,False,False
116,same_intent_retry,False,False,False
117,same_intent_retry,False,False,False
118,same_intent_retry,False,False,False
119,same_intent_retry,False,False,False
120,same_intent_retry,False,False,False
121,same_intent_retry,False,False,False
122,same_intent_retry,False,False,False
123,same_intent_retry,False,False,False
124,same_intent_retry,False,False,False
125,same_intent_retry,False,False,False
126,same_intent_retry,False,False,False
127,same_intent_retry,False,False,False
128,same_intent_retry,False,False,False
129,same_intent_retry,False,False,False
130,same_intent_retry,False,False,False
131,same_intent_retry,False,False,False
132,same_intent_retry,False,False,False
133,same_intent_retry,False,False,False
134,same_intent_retry,False,False,False
135,same_intent_retry,False,False,False
136,same_intent_retry,False,False,False
137,same_intent_retry,False,False,False
138,same_intent_retry,False,False,False
139,same_intent_retry,False,False,False
140,same_intent_retry,False,False,False
141,same_intent_retry,False,False,False
142,same_intent_retry,False,False,False
143,same_intent_retry,False,False,False
144,same_intent_retry,False,False,False
145,same_intent_retry,False,False,False
146,same_intent_retry,False,False,False
147,same_intent_retry,False,False,False
148,same_intent_retry,False,False,False
149,same_intent_retry,False,False,False
